Song,Artist,Album,Requested,Time
"The Reefer Song (If You're A Viper)","Fats Waller","Reefer Madness",false,2011-10-03T07:02:06Z
"Candle In The Wind","Joey Welz","Canadian American Greatest Hits",false,2011-10-03T06:55:02Z
"I Think I Lost My Headache","Queens of the Stone Age","Rated R",false,2011-10-03T06:45:55Z
"Junky IV","William S. Burroughs","Junky (or Junkie)",false,2011-10-03T06:42:32Z
"Jack Ass In The Will Of God",EyeHateGod,"Confederacy of Ruined Lives",false,2011-10-03T06:39:44Z
"Sister (Valium Mix)","The Men of Porn","Experiments in Feedback",false,2011-10-03T06:38:11Z
"Black Sabbath","Venetian Snares","Sabbath Dubs",false,2011-10-03T06:24:17Z
"Milwaukee Polka","Blotto Von Crack Rock","Ye Olde Barn Compilation",false,2011-10-03T06:20:45Z
"Sweet Leaf","Black Sabbath","Master of Reality",false,2011-10-03T06:20:19Z
Smoke,Ufomammut,"Godlike Snake",false,2011-10-03T06:08:24Z
"Your DJ Speaks",,,false,2011-10-03T06:07:55Z
Spacegrass,Clutch,Clutch,false,2011-10-03T05:56:14Z
"Saturn III","Fu Manchu","The Action Is Go",false,2011-10-03T05:43:16Z
"Withered Tree",Valkyrie,Valkyrie,false,2011-10-03T05:42:59Z
"Demon Cleaner","Kyuss ","Muchas Gracias...The Best of Kyuss",false,2011-10-03T05:42:33Z
"Withered Tree",Kyuss,"Muchas Gracies...The Best of Kyuss",false,2011-10-03T05:36:58Z
"Demon Lung","Electric Wizard","Come My Fanatics...",false,2011-10-03T05:31:38Z
"Goin' Blind",Melvins,Houdini,false,2011-10-03T05:26:43Z
"The Most Beautiful Girl (in the room)","Flight Of The Conchords","Flight Of The Conchords",false,2011-10-03T05:24:04Z
"Your DJ Speaks",Artist,,false,2011-10-03T05:23:24Z
"Girl U Want",Soundgarden,"Somms ",false,2011-10-03T05:15:55Z
"Summers & Autumns",Monotonix,"Body Language",false,2011-10-03T05:13:47Z
"In Your Car","Ty Segall",Lemons,false,2011-10-03T05:13:25Z
"Hobo With A Shotgun Theme",Unknown,"Hobo With A Shotgun",false,2011-10-03T05:10:23Z
"The End of Your Suffering","Colin Stetson","Those Who Didn't Run",false,2011-10-03T02:57:45Z
"Little House of Savages (The Walkmen cover)","Asobi Seksu",--,false,2011-10-03T02:48:15Z
"I Let Love In (Nick Cave and the Bad Seeds cover)","Chelsea Wolfe",[Demo],false,2011-10-03T02:42:25Z
"Back In the Crowd","Tom Waits","Bad As Me",false,2011-10-03T02:36:57Z
"Love Me More","Roadside Graves","We Can Take Care of Ourselves",false,2011-10-03T02:34:08Z
"Penobska Oakwalk",Quilt,Quilt,false,2011-10-03T02:30:46Z
"Flowers (Gross Magic Remix)",Teeth,"Gross Magic Remix",false,2011-10-03T02:25:58Z
"Not Growing Up","Shimmering Stars","Split 7""",false,2011-10-03T02:20:24Z
